id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price
22991329,Summer is around the corner. Come stay with me!,41039956,Lily,Wyndham,-37.90929149442489,144.77054604625798,Private room,60
22991651,宽敞舒适的大房间,170517574,Li Jun,Monash,-37.89150200801733,145.16969999615347,Private room,136
22992882,Heart CBD/1Min To Station/FREE(Park/Tram/POOL) F34,158100659,Nick,Melbourne,-37.813834605169475,144.95472845539902,Entire home/apt,127
22999571,Shared Living Room with Comfortable Sofa-bed,166752083,Linda,Whitehorse,-37.81840917090639,145.11725529275648,Shared room,32
23003445,A St Kilda Beach Gem.,81989838,Jen,Port Phillip,-37.8683400267289,144.9850097076727,Private room,60
23003671,A St Kilda Lifestyle on the doorstep of Windsor,46206945,Konrad,Port Phillip,-37.85777352387635,144.98701025153443,Entire home/apt,150
23004592,Bright and fresh modern apartment.,57486837,Nick & Bonnie,Moreland,-37.769990169560415,144.97526144987464,Private room,80
23004667,Melbourne市中心景色絕佳高級公寓,170644950,Harper,Port Phillip,-37.84819137655786,144.9777141701429,Shared room,30
23005127,Spacious inner city pad,18127543,Krista,Yarra,-37.80226972906251,144.9990279552337,Entire home/apt,120
23005579,Mount Waverley perfect studio,101763966,Shunan,Monash,-37.8770136911434,145.14342502976686,Entire home/apt,43
23005834,Beautiful modern Apartment with a great view!,30316484,Annemarie,Melbourne,-37.80841878122608,144.96188365427608,Private room,98
23006049,Wonderful Windsor Warehouse with Rooftop,23602072,Tanya,Stonnington,-37.85546514953757,144.9960839370325,Entire home/apt,219
23006572,G’day!  Enjoy in Heart of CBD,105762795,Amanda,Melbourne,-37.811986822606755,144.96059394307179,Private room,87
23007092,QUIET & SECLUDED IN VIBRANT EAST ST KILDA,63575350,Jo,Port Phillip,-37.860198366232375,145.00294432606384,Entire home/apt,115
23009967,Cosy Flinders St Apartment,70762754,Min,Melbourne,-37.81971789544009,144.9552876869325,Entire home/apt,89
23010159,DOCKLANDS Central @ Boyd **GYM + POOL**,669279,Chammy,Melbourne,-37.813126744178845,144.94191266039041,Entire home/apt,89
23010687,Spacious & Amazing House In Leafy Suburb,15362275,Yuchen,Boroondara,-37.82024679025272,145.05851262227378,Entire home/apt,166
23011052,Fastened living,98048935,Jiang,Glen Eira,-37.8742012633382,145.03593750439882,Private room,40
23011076,Modern Prahran/South Yarra Apartment,8638906,Alexandre,Stonnington,-37.847631292213975,144.99216597413235,Entire home/apt,100
23011426,"Melbourne Central, Cozy and comfy,
1BR + 1Study.",113202540,Sunny,Melbourne,-37.81138641031923,144.96235204573708,Entire home/apt,75
23012979,Southern Cross Brand New Deluxe 1 BD Apartment,159516681,Henry,Melbourne,-37.81534401274209,144.95390099430477,Entire home/apt,109
23013750,the master bedroom in CBD,145636905,Elaine,Melbourne,-37.80213557267601,144.96290653062178,Private room,60
23014070,Master room in a luxury flat in melbourne city,66319533,Suki,Melbourne,-37.81292386816734,144.94154673105754,Private room,39
23019195,Room in Southbank,569413,Dina,Melbourne,-37.825340957043686,144.96125571677965,Private room,98
23022543,The Shelby,29829430,Andrea,Melbourne,-37.835097908028764,144.97585468981504,Entire home/apt,161
23022606,Funky 4 bedroom house in East St Kilda & pool,139961108,Sabina,Glen Eira,-37.873858084965505,145.00690052715638,Entire home/apt,599
23022865,Mel Uni Village 7,65149000,Meng,Melbourne,-37.800488557100806,144.9548831406637,Entire home/apt,120
23023100,Private Bed & Bath in a Bright and Spacious flat.,29829430,Andrea,Port Phillip,-37.83547508296149,144.97509109490065,Private room,79
23023405,"Modern Apartment, Great City Views & Location",17364240,Charlie,Melbourne,-37.82508267236888,144.96487072135062,Private room,84
